user_id,first_name,last_name,email,country,plan,account_status,created_at,kyc_verified,device_type
83f66b28-872c-43da-ab02-437fd22c361a,Tonya,Sharp,wrighteric@example.org,Canada,basic,active,2022-04-03,True,iOS
26641a2a-1adb-4dcc-a659-07ce5834445d,Ashley,Smith,jenniferblack@example.com,Nigeria,standard,active,2021-03-07,True,iOS
a6f0853f-fbe0-4a9e-baa8-6f59af73bd52,Kyle,Morse,smithjennifer@example.net,Spain,basic,active,2024-08-23,False,iOS
50e6d331-5cce-4f34-84c1-99d25efd7e57,Tonya,Smith,michael55@example.org,Italy,basic,churned,2025-04-04,False,Android
5de02785-abcf-4829-a9cd-0f2d649b5d6b,Heather ,Allen,ynewton@example.net ,Germany,basic,suspended,2022-11-21,True,iOS
41880160-c872-48e2-b4c8-9d02e6cb061c,Alexandra,King,fdelgado@example.org,Germany,basic,active,2021-03-30,False,Android
93287bab-9c1d-4373-b0be-a1d254f673a1,Laura,Fitzgerald,yreeves@example.com,Portugal,basic,active,2025-08-26,False,Web
2ae28a8c-7a2d-4cdc-964e-d04f03d0f8f0,Dawn,Wilcox,jakewebb@example.org,France,basic,active,2024-09-16,True,iOS
dd98d4e6-9fb9-4da8-91d9-8f27cea826fe,Timothy,Fleming,robert69@example.com,USA,basic,active,2022-07-24,True,Web
bde9f5d4-1781-4dfa-9cca-e88c3fbc5820,Shannon,Contreras,christina31@example.com,USA,basic,active,2024-12-08,False,Android
7f03e7ff-9694-4854-b1f8-65ac71d648b6,Brian,Watkins,elizabethtaylor@example.com,Canada,basic,churned,2021-12-01,True,iOS
27b73ce5-c2c9-4c84-aa9b-d08e3cec6081,Chad,Lopez,andersonthomas@example.net,Ghana,standard,active,2022-10-27,False,Android
dae5c293-1dd0-4aed-bbe5-4981f4ab5211,Russell,Patton,msmith@example.net,UK,basic,active,2022-07-03,True,Web
19ae1355-862a-433c-8aac-9dd6616b648d,Michael,Whitney,edward70@example.net,Australia,standard,active,2023-10-20,True,Web
ef79670b-3249-4394-8938-e7f34c311f5e,Steven,Barr,bradleygardner@example.org,Italy,basic,active,2024-02-24,True,Android
87e1cebb-4c0f-4cf5-835d-04ea892a3270,Stephen,Foster,christiankimberly@example.net,France,standard,active,2021-10-11,True,iOS
8a63e33d-0047-4288-8370-8f37bf9a4672,Jonathan,Carter,owood@example.net,USA,basic,active,2025-06-11,False,Android
759c4429-9f7b-440c-b198-55e6509a2647,Carolyn,Li,brandonsmith@example.net,France,standard,active,2022-05-30,False,Web
0345ffba-a933-494f-b425-3d0c646e579c,Brandy,Clark,myoung@example.com,USA,standard,active,2024-01-05,False,Android
d953472f-fdc0-43b4-a2b0-36133f2deb80,Gary,Reeves,njennings@example.com,Germany,basic,active,2021-01-07,False,Web
ffff6915-cff3-44cc-bc34-179159a5bf56,Derek,Jackson,zachary89@example.org,UK,standard,active,2021-08-06,False,iOS
ca2b586b-83c0-4ec3-ba02-f7494ca353c7,Allen,Harris,jessicabrown@example.org,Canada,standard,active,2025-04-11,True,Web
2f41eac8-f2eb-40c5-871a-ebc0b80298a2,Kevin,Smith,lkelly@example.com,Ghana,premium,active,2023-09-28,True,Web
6f527821-229c-4d23-b970-3868030405cd,Thomas,moran,dana24@example.net,algeria,premium,active,2021-04-29,True,Android
61a144ff-67b8-4759-abad-ba378d013c04,Anne,Reynolds,jefferyanderson@example.org,USA,standard,churned,2025-04-07,True,iOS
896839c7-5200-49f5-b39c-32dfed1e11fc,William,Ortiz,samuelalexander@example.net,Brazil,premium,active,2023-12-17,False,iOS
2297a22f-0824-4d93-b215-dbe0e7f719a6,David,Hall,curtis19@example.net,UK,standard,churned,2022-02-16,False,iOS
6a64d8a2-2826-40b5-b477-b1877f81cc55,Robert,,,,,churned,2023-07-14,True,iOS
05a49ebb-f54b-4d15-a17f-c0cb5b36f20f,Todd,Taylor,emily10@example.net,Germany,standard,active,2022-03-28,True,Android
0d192c59-0e69-4559-a0bc-c5e290c43735,Andrea,lee,terriwaters@example.net,usa,basic,active,2022-11-08,True,iOS
cd5c0fa4-beb1-485c-ba1c-42b86c6aefb3,Rachel,curtis,williamsmelinda@example.org,brazil,basic,active,2024-03-15,True,iOS
ab1ee63f-b2e6-4726-8a99-da57d08fce29,Bryce,,,,,active,2024-09-11,True,iOS
e4f45ab8-a123-4dbb-8ebd-a08571105f0f,Denise,golden,juliangrant@example.com,italy,standard,active,2024-08-16,True,iOS
6bb783fc-616d-49f2-9d68-54020a9d1b33,Kiara,Williams,lopezandrew@example.org,Germany,premium,active,2022-01-25,True,iOS
f5c25c72-0e03-466a-aded-9bcdd80a45fc,Eric,Smith,tylertran@example.net,UK,basic,churned,2021-06-04,True,Web
de4bb135-215b-4cfe-9192-7e6df0caf08c,David,,,,,suspended,2025-09-09,True,iOS
6b618d14-566c-48d3-9957-effc81819fb6,Rebekah,,,,,active,2023-09-13,True,iOS
318429ee-65ba-4b16-9d69-a6923f2f4aa6,Stephen ,,,,,suspended,2022-06-28,False,Android
ed49f571-355c-47dc-8f62-e500aebd298c,James,Luna,normanchloe@example.org,Germany,standard,churned,2025-05-24,True,Android
9f965b35-0d4f-4ac7-9baa-3a9e4f4a94a6,Sarah,Hernandez,imartinez@example.org,USA,basic,suspended,2024-04-01,False,iOS
7926e414-a9f5-4148-99e2-cc334fe7bfb8,Tony,Garcia,joshua35@example.net,Germany,basic,active,2023-12-24,True,Web
3a8910f3-f5f6-47a8-9532-4ce1cf023e10,Nicole,Calderon,cmills@example.com,USA,basic,active,2024-10-14,False,iOS
462bb8bd-2e30-4571-98e6-a2d212a54660,Jennifer,Neal,jeffreybennett@example.org,Uganda,standard,active,2021-03-23,False,iOS
